time,par
2015-07-25 00:19:45,88.553
2015-07-25 00:22:45,80.632
2015-07-25 00:25:45,88.833
2015-07-25 00:28:46,119.934
2015-07-25 00:31:46,244.311
2015-07-25 00:34:46,214.153
2015-07-25 00:37:46,204.957
2015-07-25 00:40:47,209.772
2015-07-25 00:43:47,197.749
2015-07-25 00:46:47,196.144
2015-07-25 00:49:47,196.17
2015-07-25 00:52:48,198.819
2015-07-25 00:55:48,152.309
2015-07-25 00:58:48,202.487
2015-07-25 01:01:48,193.878
2015-07-25 01:04:49,192.299
2015-07-25 01:07:49,191.305
2015-07-25 01:10:49,189.546
2015-07-25 01:13:49,188.554
2015-07-25 01:16:49,188.351
2015-07-25 01:19:50,187.612
2015-07-25 01:22:50,186.975
2015-07-25 01:25:50,186.772
2015-07-25 01:28:50,186.364
2015-07-25 01:31:51,185.88
2015-07-25 01:34:51,185.523
2015-07-25 01:37:51,185.879
2015-07-25 01:40:51,185.574
2015-07-25 01:43:52,185.854
2015-07-25 01:46:52,185.447
2015-07-25 01:49:52,185.549
2015-07-25 01:52:52,185.269
2015-07-25 01:55:52,184.683
2015-07-25 01:58:53,184.199
2015-07-25 02:01:53,183.511
2015-07-25 02:04:53,183.256
2015-07-25 02:34:15,178.649
2015-07-25 02:37:15,178.418
2015-07-25 03:40:40,153.634
2015-07-25 03:43:40,152.742
2015-07-25 03:46:40,150.348
2015-07-25 03:49:41,148.081
2015-07-25 03:52:41,144.235
2015-07-25 03:55:41,135.524
2015-07-25 03:58:41,106.995
2015-07-25 04:01:42,85.141
2015-07-25 04:04:42,85.777
2015-07-25 04:07:42,132.543
2015-07-25 04:10:42,130.861
2015-07-25 04:13:43,127.728
2015-07-25 04:16:43,85.523
2015-07-25 04:19:43,123.374
2015-07-25 04:22:43,118.05
2015-07-25 04:25:44,31.701
2015-07-25 04:28:44,105.518
2015-07-25 04:31:44,101.494
2015-07-25 04:34:44,93.98
2015-07-25 04:37:45,93.063
2015-07-25 04:40:45,88.58
2015-07-25 04:43:45,80.149
2015-07-25 04:46:45,71.642
2015-07-25 04:49:46,62.726
2015-07-25 04:52:46,54.015
2015-07-25 04:55:46,17.437
2015-07-25 04:58:46,40.107
2015-07-25 05:01:47,21.997
2015-07-25 05:04:47,9.287
2015-07-25 05:07:47,8.446
2015-07-25 05:10:47,6.459
2015-07-25 05:13:48,5.389
2015-07-25 05:16:48,3.199
2015-07-25 05:19:48,2.307
2015-07-25 05:22:48,1.492
2015-07-25 05:25:49,0.855
2015-07-25 05:28:49,0.499
2015-07-25 05:31:49,0.142
2015-07-25 05:34:49,-0.011
2015-07-25 05:37:50,-0.113
2015-07-25 05:40:50,-0.138
2015-07-25 05:43:50,-0.163
2015-07-25 05:46:50,-0.189
2015-07-25 05:49:50,-0.189
2015-07-25 05:52:51,-0.189
2015-07-25 05:55:51,-0.189
2015-07-25 05:58:51,-0.189
2015-07-25 06:01:51,-0.189
2015-07-25 06:04:52,-0.189
2015-07-25 06:07:52,-0.189
2015-07-25 06:10:52,-0.24
2015-07-25 06:13:52,-0.265
2015-07-25 06:16:53,-0.189
2015-07-25 06:19:53,-0.189
2015-07-25 06:22:53,-0.189
2015-07-25 06:25:53,-0.189
2015-07-25 06:28:54,-0.189
2015-07-25 06:31:54,-0.189
2015-07-25 06:34:54,-0.189
2015-07-25 06:37:54,-0.189
2015-07-25 06:40:55,-0.189
2015-07-25 06:43:55,-0.189
2015-07-25 06:46:55,-0.189
2015-07-25 06:49:55,-0.189
2015-07-25 06:52:56,-0.189
2015-07-25 06:55:56,-0.189
2015-07-25 06:58:56,-0.189
2015-07-25 07:01:56,-0.189
2015-07-25 07:04:56,-0.189
2015-07-25 07:07:57,-0.189
2015-07-25 07:10:57,-0.189
2015-07-25 07:13:57,-0.189
2015-07-25 07:16:57,-0.189
2015-07-25 07:19:58,-0.189
2015-07-25 07:22:58,-0.189
2015-07-25 07:25:58,-0.189
2015-07-25 07:28:58,-0.189
2015-07-25 07:31:58,-0.189
2015-07-25 07:34:59,-0.189
2015-07-25 07:37:59,-0.189
2015-07-25 07:40:59,-0.189
2015-07-25 07:43:59,-0.189
2015-07-25 07:47:00,-0.189
2015-07-25 07:50:00,-0.189
2015-07-25 07:53:00,-0.189
2015-07-25 07:56:00,-0.189
2015-07-25 07:59:01,-0.265
2015-07-25 08:02:01,-0.189
2015-07-25 08:05:01,-0.189
2015-07-25 08:08:01,-0.189
2015-07-25 08:11:02,-0.189
2015-07-25 08:14:02,-0.189
2015-07-25 08:17:02,-0.418
2015-07-25 08:20:02,-0.189
2015-07-25 08:23:02,-0.189
2015-07-25 08:26:03,-0.189
2015-07-25 08:29:03,-0.189
2015-07-25 08:32:03,-0.189
2015-07-25 08:35:03,-0.189
2015-07-25 08:38:04,-0.189
2015-07-25 08:41:04,-0.189
2015-07-25 08:44:04,-0.189
2015-07-25 08:47:04,-0.189
2015-07-25 08:50:04,-0.189
2015-07-25 08:53:05,-0.189
2015-07-25 08:56:05,-0.189
2015-07-25 08:59:05,-0.393
2015-07-25 09:02:05,-0.189
2015-07-25 09:05:06,-0.214
2015-07-25 09:08:06,-0.189
2015-07-25 09:11:06,-0.316
2015-07-25 09:14:06,-0.189
2015-07-25 09:17:07,-0.189
2015-07-25 09:20:07,-0.189
2015-07-25 09:23:07,-0.189
2015-07-25 09:26:07,-0.189
2015-07-25 09:29:07,-0.189
2015-07-25 09:32:08,-0.189
2015-07-25 09:35:08,-0.189
2015-07-25 09:38:08,-0.189
2015-07-25 09:41:08,-0.189
2015-07-25 09:44:09,-0.189
2015-07-25 09:47:09,-0.189
2015-07-25 09:50:09,-0.189
2015-07-25 09:53:09,-0.24
2015-07-25 09:56:10,-0.189
2015-07-25 09:59:10,-0.189
2015-07-25 10:02:10,-0.189
2015-07-25 10:05:10,-0.189
2015-07-25 10:08:10,-0.189
2015-07-25 10:11:11,-0.189
2015-07-25 10:14:11,-0.189
2015-07-25 10:17:11,-0.189
2015-07-25 10:20:11,-0.189
2015-07-25 10:23:12,-0.189
2015-07-25 10:26:12,-0.189
2015-07-25 10:29:12,-0.189
2015-07-25 10:32:12,-0.189
2015-07-25 10:35:13,-0.189
2015-07-25 10:38:13,-0.189
2015-07-25 10:41:13,-0.189
2015-07-25 10:44:13,-0.189
2015-07-25 10:47:14,-0.189
2015-07-25 10:50:14,-0.189
2015-07-25 10:53:14,-0.189
2015-07-25 10:56:14,-0.189
2015-07-25 10:59:14,-0.189
2015-07-25 11:02:15,-0.189
2015-07-25 11:05:15,-0.189
2015-07-25 11:08:15,-0.189
2015-07-25 11:11:15,-0.189
2015-07-25 11:14:16,-0.189
2015-07-25 11:17:16,-0.189
2015-07-25 11:20:16,-0.189
2015-07-25 11:23:16,-0.189
2015-07-25 11:26:17,-0.189
2015-07-25 11:29:17,-0.189
2015-07-25 11:32:17,-0.265
2015-07-25 11:35:17,-0.189
2015-07-25 11:38:17,-0.189
2015-07-25 11:41:18,-0.189
2015-07-25 11:44:18,-0.189
2015-07-25 11:47:18,-0.189
2015-07-25 11:50:18,-0.189
2015-07-25 11:53:19,-0.189
2015-07-25 11:56:19,-0.189
2015-07-25 11:59:19,-0.189
2015-07-25 12:02:19,-0.189
2015-07-25 12:05:20,-0.189
2015-07-25 12:08:20,-0.189
2015-07-25 12:11:20,-0.189
2015-07-25 12:14:20,-0.189
